epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0468,1.21004,4.02518,1.27643,0.27924,0.26022,0.22032,0.13236,1.37661,2.83282,1.2261,0.00014391,0.00014391,0.00014391
2,69.7965,1.22395,2.9066,1.27721,0.53725,0.50431,0.51767,0.29606,1.54425,1.84657,1.29109,0.00028605,0.00028605,0.00028605
3,94.1832,1.21033,2.32033,1.27051,0.62516,0.60524,0.64594,0.44837,1.08588,1.62729,1.03961,0.000425318,0.000425318,0.000425318
4,118.047,1.14589,2.0822,1.23714,0.57572,0.63553,0.65488,0.43225,1.21347,1.43809,1.09161,0.00042208,0.00042208,0.00042208
5,141.873,1.1245,1.91283,1.21529,0.58566,0.7163,0.68912,0.50591,0.91018,1.28936,0.97218,0.000417774,0.000417774,0.000417774
6,165.746,1.08694,1.77192,1.201,0.63331,0.69305,0.71405,0.52752,0.9178,1.23443,0.97489,0.000413467,0.000413467,0.000413467
7,189.619,1.06771,1.69535,1.19036,0.66414,0.60155,0.70019,0.56517,0.7083,1.24954,0.90753,0.000409161,0.000409161,0.000409161
8,213.593,1.05455,1.62437,1.17524,0.73993,0.73734,0.78583,0.62093,0.78934,0.99676,0.93098,0.000404854,0.000404854,0.000404854
9,237.214,1.03288,1.53583,1.17387,0.67386,0.80387,0.79259,0.64676,0.71212,1.04184,0.90236,0.000400548,0.000400548,0.000400548
10,260.199,1.03161,1.49436,1.16935,0.75275,0.76671,0.82338,0.67585,0.68817,0.88228,0.89575,0.000396242,0.000396242,0.000396242
11,283.565,1.01558,1.40282,1.16237,0.84259,0.74631,0.82568,0.6398,0.8194,0.90668,0.94178,0.000391935,0.000391935,0.000391935
12,307.181,1.00601,1.32832,1.15847,0.83625,0.7995,0.87581,0.69618,0.77319,0.83731,0.94225,0.000387629,0.000387629,0.000387629
13,330.751,0.97154,1.30889,1.1287,0.79222,0.82367,0.87438,0.69508,0.76321,0.84799,0.92425,0.000383322,0.000383322,0.000383322
14,354.849,0.96848,1.25839,1.14215,0.84589,0.79802,0.87104,0.73027,0.64841,0.78946,0.89722,0.000379015,0.000379015,0.000379015
15,379.038,0.97032,1.2348,1.14127,0.90337,0.78239,0.88342,0.73805,0.65465,0.76674,0.89729,0.000374709,0.000374709,0.000374709
16,403.035,0.95434,1.2315,1.13628,0.88638,0.81968,0.88695,0.73249,0.7157,0.73807,0.90722,0.000370403,0.000370403,0.000370403
17,426.946,0.95618,1.19521,1.13816,0.91095,0.8465,0.89312,0.75129,0.65339,0.72049,0.88994,0.000366096,0.000366096,0.000366096
18,450.84,0.92866,1.14031,1.11389,0.86793,0.81492,0.89056,0.7614,0.61672,0.68385,0.88301,0.00036179,0.00036179,0.00036179
19,473.937,0.93166,1.12021,1.11839,0.91367,0.81434,0.90928,0.78268,0.57188,0.66726,0.87067,0.000357483,0.000357483,0.000357483
20,497.572,0.92611,1.12835,1.11273,0.89789,0.83905,0.89914,0.76371,0.57931,0.69237,0.86929,0.000353177,0.000353177,0.000353177
21,521.726,0.90903,1.04151,1.10788,0.93246,0.8341,0.91489,0.77733,0.62245,0.63907,0.8764,0.00034887,0.00034887,0.00034887
22,545.653,0.90543,1.08603,1.10725,0.89072,0.85233,0.90449,0.778,0.57689,0.65258,0.86451,0.000344563,0.000344563,0.000344563
23,569.67,0.89476,1.02244,1.10247,0.90613,0.86323,0.92274,0.79267,0.57008,0.59062,0.85623,0.000340257,0.000340257,0.000340257
24,593.763,0.90478,1.02464,1.11213,0.82067,0.78159,0.85398,0.71847,0.6156,0.74604,0.87281,0.000335951,0.000335951,0.000335951
25,617.67,0.87812,1.01742,1.09414,0.90643,0.82872,0.90144,0.77376,0.57679,0.65701,0.86632,0.000331644,0.000331644,0.000331644
26,641.487,0.87847,0.99554,1.08853,0.86619,0.87418,0.91032,0.74414,0.69515,0.64047,0.89314,0.000327337,0.000327337,0.000327337
27,665.358,0.87143,0.93529,1.08932,0.86408,0.88891,0.92437,0.77487,0.63032,0.59006,0.87914,0.000323031,0.000323031,0.000323031
28,689.137,0.88264,0.94704,1.08824,0.88452,0.88357,0.92946,0.80711,0.56144,0.631,0.85467,0.000318725,0.000318725,0.000318725
29,712.543,0.88951,0.94721,1.08812,0.90447,0.85414,0.91629,0.79986,0.54541,0.59704,0.85777,0.000314418,0.000314418,0.000314418
30,736.305,0.87892,0.95709,1.09662,0.93464,0.85887,0.9352,0.79698,0.63728,0.58008,0.87614,0.000310111,0.000310111,0.000310111
31,760.423,0.85198,0.93427,1.08041,0.886,0.8935,0.92038,0.80096,0.5328,0.57262,0.85257,0.000305805,0.000305805,0.000305805
32,784.35,0.84906,0.90681,1.07818,0.8925,0.864,0.91525,0.81186,0.5002,0.61335,0.84049,0.000301498,0.000301498,0.000301498
33,808.325,0.871,0.91497,1.08572,0.93419,0.88106,0.93216,0.82273,0.52106,0.55194,0.84642,0.000297192,0.000297192,0.000297192
34,832.354,0.83853,0.86785,1.06828,0.88933,0.88227,0.91943,0.8109,0.53652,0.59416,0.84711,0.000292885,0.000292885,0.000292885
35,856.195,0.83541,0.89409,1.07288,0.86143,0.91179,0.91795,0.78037,0.62567,0.57593,0.86564,0.000288579,0.000288579,0.000288579
36,880.017,0.87899,0.90172,1.09482,0.94059,0.86399,0.93211,0.82262,0.50823,0.57173,0.84982,0.000284272,0.000284272,0.000284272
37,903.902,0.83954,0.86196,1.07694,0.94423,0.85066,0.9369,0.81406,0.53637,0.53259,0.84575,0.000279966,0.000279966,0.000279966
38,928.136,0.83755,0.8454,1.07734,0.92875,0.86281,0.9293,0.81812,0.52652,0.57186,0.84923,0.00027566,0.00027566,0.00027566
39,951.181,0.82223,0.8406,1.0714,0.92811,0.87007,0.91721,0.80024,0.54277,0.56238,0.84901,0.000271353,0.000271353,0.000271353
40,974.82,0.85204,0.8478,1.07963,0.95445,0.85601,0.93123,0.82912,0.48069,0.54025,0.83809,0.000267047,0.000267047,0.000267047
41,998.61,0.83378,0.83328,1.07194,0.89842,0.90055,0.93666,0.83006,0.50408,0.53119,0.83939,0.00026274,0.00026274,0.00026274
42,1022.75,0.7863,0.7996,1.05283,0.91391,0.89197,0.92084,0.8091,0.52522,0.52312,0.84427,0.000258434,0.000258434,0.000258434
43,1046.69,0.80194,0.8095,1.05506,0.89323,0.90626,0.93952,0.8275,0.52063,0.51014,0.84569,0.000254127,0.000254127,0.000254127
44,1070.67,0.80474,0.80445,1.05587,0.90651,0.90784,0.93454,0.82019,0.53217,0.50964,0.84593,0.00024982,0.00024982,0.00024982
45,1094.83,0.78628,0.77322,1.05402,0.92364,0.89792,0.94181,0.82345,0.55429,0.50288,0.85569,0.000245514,0.000245514,0.000245514
46,1118.68,0.7964,0.75714,1.05202,0.93379,0.87854,0.93691,0.83883,0.49098,0.51338,0.84001,0.000241207,0.000241207,0.000241207
47,1142.54,0.78203,0.74123,1.04947,0.9219,0.87664,0.93441,0.83118,0.48961,0.49565,0.83234,0.000236901,0.000236901,0.000236901
48,1165.89,0.78492,0.76159,1.04659,0.94491,0.88349,0.93889,0.83182,0.48947,0.48018,0.83448,0.000232595,0.000232595,0.000232595
49,1189.68,0.77304,0.73472,1.04255,0.90724,0.898,0.93274,0.82694,0.49517,0.50612,0.83513,0.000228288,0.000228288,0.000228288
50,1213.81,0.77832,0.75447,1.04386,0.90991,0.90862,0.94262,0.83192,0.50303,0.48058,0.83466,0.000223982,0.000223982,0.000223982
51,1238.04,0.76062,0.72925,1.03923,0.94212,0.88471,0.93307,0.82426,0.49434,0.48566,0.83861,0.000219675,0.000219675,0.000219675
52,1262.16,0.76749,0.73914,1.03933,0.95113,0.88772,0.94893,0.8116,0.61065,0.48716,0.86346,0.000215368,0.000215368,0.000215368
53,1286.38,0.74994,0.71839,1.03699,0.93114,0.90699,0.94757,0.83984,0.48814,0.4701,0.83511,0.000211062,0.000211062,0.000211062
54,1310.57,0.75689,0.71587,1.03842,0.92705,0.88981,0.94628,0.83564,0.49524,0.47949,0.83971,0.000206755,0.000206755,0.000206755
55,1335.2,0.73387,0.71185,1.03212,0.93882,0.8811,0.94639,0.8445,0.48706,0.49268,0.83611,0.000202449,0.000202449,0.000202449
56,1359.88,0.77902,0.72999,1.04422,0.91798,0.918,0.94256,0.84395,0.47157,0.47822,0.83357,0.000198142,0.000198142,0.000198142
57,1384.24,0.75986,0.70007,1.04289,0.95966,0.91488,0.94927,0.83484,0.51277,0.44457,0.84527,0.000193836,0.000193836,0.000193836
58,1407.84,0.74611,0.70678,1.03403,0.92564,0.90301,0.93218,0.83678,0.46985,0.47346,0.83194,0.00018953,0.00018953,0.00018953
59,1431.34,0.74219,0.68726,1.03295,0.93433,0.90811,0.93954,0.8435,0.47085,0.46743,0.83443,0.000185223,0.000185223,0.000185223
60,1455.45,0.73302,0.69363,1.02468,0.96444,0.87399,0.94371,0.84292,0.48197,0.4441,0.83177,0.000180917,0.000180917,0.000180917
61,1479.42,0.72789,0.68459,1.02573,0.95784,0.88909,0.94565,0.8482,0.46073,0.45211,0.82598,0.00017661,0.00017661,0.00017661
62,1503.51,0.71901,0.67139,1.02788,0.93678,0.91905,0.95779,0.86311,0.45532,0.41992,0.82745,0.000172304,0.000172304,0.000172304
63,1528.12,0.72814,0.67334,1.02526,0.93019,0.91228,0.95423,0.84481,0.49159,0.42418,0.8333,0.000167997,0.000167997,0.000167997
64,1552.33,0.73145,0.67948,1.02627,0.94335,0.8978,0.94432,0.85272,0.45534,0.44628,0.82384,0.000163691,0.000163691,0.000163691
65,1576.42,0.70537,0.64671,1.01156,0.92777,0.89992,0.94356,0.8445,0.47659,0.45007,0.82631,0.000159384,0.000159384,0.000159384
66,1600.57,0.71907,0.66415,1.02063,0.95042,0.8917,0.94501,0.84957,0.4678,0.44421,0.82685,0.000155078,0.000155078,0.000155078
67,1624.97,0.70474,0.64472,1.01285,0.94037,0.90543,0.94266,0.83821,0.49349,0.41959,0.83509,0.000150771,0.000150771,0.000150771
68,1648.52,0.68397,0.63292,1.01111,0.95184,0.89824,0.95136,0.84809,0.48755,0.42157,0.82794,0.000146464,0.000146464,0.000146464
69,1672.13,0.70348,0.6501,1.01834,0.94604,0.90519,0.95083,0.84337,0.47777,0.42917,0.82888,0.000142158,0.000142158,0.000142158
70,1696.41,0.69842,0.63551,1.01381,0.95201,0.8695,0.93795,0.83581,0.48893,0.47253,0.83214,0.000137852,0.000137852,0.000137852
71,1720.72,0.68841,0.61901,1.01558,0.94879,0.90548,0.9496,0.84608,0.48181,0.43821,0.83232,0.000133545,0.000133545,0.000133545
72,1744.89,0.67325,0.6149,1.00721,0.94834,0.89371,0.94904,0.8591,0.43553,0.41824,0.81765,0.000129239,0.000129239,0.000129239
